config,bench,threads,trial,txns,time_ns,throughput,aborts,verified
rstm-cgl,ReadNWrite1/m256,2,5,113328829,5000032371,22665619,0,1
zstm-ala,ReadNWrite1/m256,4,5,42585531,5000251859,8516677,2880004,1
rstm-norec,ReadNWrite1/m256,4,5,26488055,5000001058,5297609,1760387,1
rstm-cgl,ReadNWrite1/m256,4,5,103279895,5000043226,20655800,0,1
zstm-ala,ReadNWrite1/m256,8,5,39758579,5000576327,7950799,1347445,1
rstm-norec,ReadNWrite1/m256,8,5,15384687,5000008238,3076932,2422629,1
rstm-cgl,ReadNWrite1/m256,8,5,82553629,5000039956,16510593,0,1
zstm-ala,ReadNWrite1/m256,16,5,36862085,5000910079,7371075,1361602,1
rstm-norec,ReadNWrite1/m256,16,5,11944125,5000006819,2388821,3648296,1
rstm-cgl,ReadNWrite1/m256,16,5,47597648,5000061583,9519412,0,1
zstm-ala,ReadNWrite1/m4096,1,5,235918803,5000509194,47178955,0,1
rstm-norec,ReadNWrite1/m4096,1,5,149934563,5000004173,29986887,0,1
rstm-cgl,ReadNWrite1/m4096,1,5,121362082,5000002710,24272403,0,1
zstm-ala,ReadNWrite1/m4096,2,5,66067895,5000795161,13211477,99231,1
rstm-norec,ReadNWrite1/m4096,2,5,37202214,5000002122,7440439,47700,1
rstm-cgl,ReadNWrite1/m4096,2,5,105684565,5000047937,21136710,0,1
zstm-ala,ReadNWrite1/m4096,4,5,46664556,5000487554,9332001,201760,1
rstm-norec,ReadNWrite1/m4096,4,5,24840453,5000001869,4968088,98874,1
rstm-cgl,ReadNWrite1/m4096,4,5,87925753,5000017629,17585088,0,1
zstm-ala,ReadNWrite1/m4096,8,5,37235171,5001769356,7444399,315428,1
rstm-norec,ReadNWrite1/m4096,8,5,18042883,5000005744,3608572,182352,1
rstm-cgl,ReadNWrite1/m4096,8,5,77002833,5000050327,15400411,0,1
zstm-ala,ReadNWrite1/m4096,16,5,31806670,5000735145,6360398,514772,1
rstm-norec,ReadNWrite1/m4096,16,5,13668514,5000006492,2733699,292648,1
rstm-cgl,ReadNWrite1/m4096,16,5,53891657,5000061156,10778199,0,1
zstm-ala,ReadWriteN/m256,1,5,134546053,5000388366,26907120,0,1
rstm-norec,ReadWriteN/m256,1,5,113607142,5000004157,22721409,0,1
rstm-cgl,ReadWriteN/m256,1,5,109598401,5000002462,21919669,0,1
zstm-ala,ReadWriteN/m256,2,5,36485052,5000683357,7296013,5270671,1
rstm-norec,ReadWriteN/m256,2,5,28128783,5000003798,5625752,3896927,1
